"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"220",22531203,22156401,22906004,"2013","Obese","BMI"
"221",23371028,23002418,23739638,"2014","Obese","BMI"
"222",23424574,22945111,23904037,"2003","Male","Sex"
"223",23520113,23141970,23898255,"2011","Male","Sex"
"224",23521035,23024539,24017532,"2020","Obese","BMI"
"225",23635241,23251001,24019480,"2016","Obese","BMI"
"226",23686290,23298693,24073886,"2009","Male","Sex"
"227",23687043,23260570,24113517,"2005","Male","Sex"
"228",23927019,23490275,24363763,"2017","Obese","BMI"
"229",23928339,23539267,24317412,"2019","Obese","BMI"
"230",24817325,24397824,25236827,"2007","Male","Sex"
"231",24912720,24514318,25311122,"2013","Male","Sex"
"232",25032712,24595327,25470098,"2018","Obese","BMI"
"233",25084572,24645956,25523187,"2017","Male","Sex"
"234",25089891,24684337,25495446,"2015","Male","Sex"
"235",25265383,24748259,25782508,"2020","Male","Sex"
"236",25465658,25049056,25882261,"2012","Male","Sex"
"237",25593991,25175428,26012554,"2019","Male","Sex"
"238",25800158,25394298,26206018,"2014","Male","Sex"
"239",26099341,25693478,26505204,"2016","Male","Sex"
"240",27029467,26570146,27488787,"2018","Male","Sex"
"241",29912229,29417511,30406946,"2001","Female","Sex"
"242",34141258,33660142,34622374,"2003","Female","Sex"
"243",34367461,33993826,34741096,"2011","Female","Sex"
"244",34397737,34040534,34754940,"2009","Female","Sex"
"245",34664240,34244639,35083840,"2005","Female","Sex"
"246",35742630,35350700,36134560,"2007","Female","Sex"
"247",36260700,35824755,36696644,"2013","Female","Sex"
"248",36500596,36065375,36935817,"2012","Female","Sex"
"249",36564151,36127603,37000699,"2015","Female","Sex"
"250",37158543,36678116,37638970,"2019","Female","Sex"
"251",37252070,36721119,37783020,"2017","Female","Sex"
"252",37482558,37037595,37927522,"2014","Female","Sex"
"253",37486275,36852630,38119920,"2020","Female","Sex"
"254",37978854,37511747,38445962,"2016","Female","Sex"
"255",39005114,38476761,39533467,"2018","Female","Sex"
"256",48234244.6589461,47593354.5171272,48875134.8007649,"2001","US Population","Overall"
"257",57565833.3596193,56929717.6365089,58201949.0827296,"2003","US Population","Overall"
"258",57887574.601035,57384318.7997184,58390830.4023515,"2011","US Population","Overall"
"259",58084027.889234,57590624.6763496,58577431.1021185,"2009","US Population","Overall"
"260",58351283.9525711,57790293.1434073,58912274.761735,"2005","US Population","Overall"
"261",60559956.4393934,60022675.1773201,61097237.7014668,"2007","US Population","Overall"
"262",61173420.531096,60610637.1482072,61736203.9139848,"2013","US Population","Overall"
"263",61654043.2065265,61088011.1501576,62220075.2628954,"2015","US Population","Overall"
"264",61966255.3559083,61393902.9548125,62538607.757004,"2012","US Population","Overall"
"265",62376352.7431466,61718979.6094813,63033725.8768119,"2017","US Population","Overall"
"266",62751659.2752905,61967611.9792558,63535706.5713251,"2020","US Population","Overall"
"267",62752535.3817992,62147778.6297135,63357292.1338848,"2019","US Population","Overall"
"268",63282717.2825293,62711517.4707003,63853917.0943584,"2014","US Population","Overall"
"269",64085404.7318818,63497781.8870032,64673027.5767605,"2016","US Population","Overall"
"270",66209505.9090911,65542671.0895034,66876340.7286789,"2018","US Population","Overall"
